Preschool_Name,Comment,Sentiment,Word,Category
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,The centre is well organised and teachers are friendly and knowledgeable. My kid is adapting well in the centre and would recommend anyone who is interested in signing up for Mindspace to consider this centre.,0.3125,centre,Facility_Factors
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,"Sending my niece to Mindspace@Tai Seng is the best education decision I have made! My niece (a typical heartlander) became more interactive, can articulate and express herself better. When I run into logistics coordination problems, the business owner, Ching & her team staff helped me with sincere and stress-free assistance with great initiative. It had helped me in dual capacity as in improving both education where I can focus on work concentration. Their enrichment are aligned with MOE and to my knowledge the only enrichment programme currently with PSLE results verified by KPMG in Singapore which is quality controlled. Many thanks & keep up with the great work :)",0.4277777777777778,niece,Staff_and_Management_Factors
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,MindSpace (Grantral Mall) provides a very nice and conducive environment for learning. The trainers are also prompt in providing updates on my son's progress. He is enjoying himself a lot in the centre and is doing well in terms of curriculum and homework. I would highly recommend parents to try out MindSpace!,0.49333333333333335,environment,Facility_Factors
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,The systematic approach and caring demeanor of teachers provide a sense of reassurance to parents.,0.0,approach,Educational_Factors
MindChamps PreSchool @ Adda Heights,Best！！！,0.0,-,
MindChamps PreSchool @ Adda Heights,"toddler empire""",0.0,toddler,Communication_Factors
MindChamps Reading @ Punggol Northshore,"""Gives me more understanding how to read and communicate with my boys. Makes reading fun. Asking questions to make them tell us more. Very valuable workshop. Thanks Ms Diana.",0.33999999999999997,understanding,Educational_Factors
MindChamps Reading @ Punggol Northshore,"Awesome talk by Ms Diana, the love for reading as a journey with our child.",0.75,talk,Communication_Factors
MindChamps Reading @ Punggol Northshore,Very Detailed and structure sharing session at the centre.,0.52,structure,Educational_Factors
MindChamps Reading @ Punggol Northshore,Very impressive program!,1.0,program,Educational_Factors
MindChamps Reading @ Punggol Northshore,"Impressive presentation""",1.0,presentation,Educational_Factors
