Preschool_Name,Location_Type,Address,Opening_Hours,Preschool_Website,Stars,Average_Stars,Google_Website,Update_Time,Preschool_Latitude,Preschool_Longitude,Sunday_Start,Sunday_End,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start_Number,Sunday_End_Number,Monday_Start_Number,Monday_End_Number,Tuesday_Start_Number,Tuesday_End_Number,Wednesday_Start_Number,Wednesday_End_Number,Thursday_Start_Number,Thursday_End_Number,Friday_Start_Number,Friday_End_Number,Saturday_Start_Number,Saturday_End_Number,Overall_Sentiment,Communication_Factors,Cost_Factors,Educational_Factors,Facility_Factors,Safety_and_Health_Factors,Staff_and_Management_Factors
The Orange Academy (Tiong Bahru),Preschool,"298 Tiong Bahru Rd, #03-01 Central Plaza, Singapore 168730 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 5pm",http://orangeacademy.com.sg/contact/,"5,    5,    5",5.0,"https://www.google.com/maps/place/The+Orange+Academy+(Tiong+Bahru)/@1.2863341,103.82814,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1979302f68fb:0xcb1b04fa65393ecd!8m2!3d1.2863341!4d103.82814!16s%2Fg%2F11g8g4pkrp?entry=ttu",2024-04-11 06:59:12.253538,1.2863341,103.82814,Closed,Closed,7am,7pm,7am,7pm,7am,5pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,17,7,19,7,19,7,14,,,,,,,
The Orange Academy (Tampines) Pte Ltd,Child care agency,"2 Tampines Central 5, #04-08 Century Square, Singapore 529509 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://orangeacademy.com.sg/,"4,    5,    1,    5,    5,    5",4.166666666666667,"https://www.google.com/maps/place/The+Orange+Academy+(Century+Square)/@1.3523888,103.9438567,17z/data=!3m1!4b1!4m6!3m5!1s0x31da3dd0226b0527:0x9b6e8e789da1fe76!8m2!3d1.3523888!4d103.9438567!16s%2Fg%2F11f66qpt3m?entry=ttu",2024-04-11 06:58:47.087793,1.3523888,103.9438567,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,0.0,,,0.0,,,
The Moral Childcare Centre (407 Serangoon Ave 1),Child care agency,"402 Serangoon Ave 1, Singapore 550402 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",,"5,    5,    1,    5",4.0,"https://www.google.com/maps/place/The+Moral+Child+Care+Centre/@1.3466922,103.8727198,17z/data=!3m1!4b1!4m6!3m5!1s0x31da17a1912d5b95:0x51b98fe6da956857!8m2!3d1.3466922!4d103.8727198!16s%2Fg%2F1pv2k5fwv?entry=ttu",2024-04-11 06:58:21.510654,1.3466922,103.8727198,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
The Little Skool-House International Pte Ltd (At-Thomson),Preschool,"512 Thomson Rd, #05-00 MSF Building, Singapore 298136 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://bit.ly/LSH_MSF_Thomson_ScheduleAVisit,"1,    5,    5",3.6666666666666665,"https://www.google.com/maps/place/Little+Skool-House+MSF+Building/@1.3336854,103.8395166,17z/data=!3m1!4b1!4m6!3m5!1s0x31da175b57ffffff:0xc062bae153b5f84!8m2!3d1.3336854!4d103.8395166!16s%2Fg%2F1tg137n7?entry=ttu",2024-04-11 06:58:07.052371,1.3336854,103.8395166,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,Closed,Closed,7,19,7,19,7,19,7,19,7,19,Closed,Closed,,,,,,,
The Little Skool-House International Pte Ltd (At-Temasek-Polytechnic),Preschool,"21 Block, 1A Tampines Ave 1, #01-87 East Wing, 529757 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://bit.ly/LSH_TemasekPolytechnic_ScheduleAVisit,"1,    5,    5",3.6666666666666665,"https://www.google.com/maps/place/Little+Skool-House+Temasek+Polytechnic/@1.3449801,103.9353948,17z/data=!3m1!4b1!4m6!3m5!1s0x31da3d6a17e855b7:0x356769a4eae2e01b!8m2!3d1.3449801!4d103.9353948!16s%2Fg%2F1ptxdlw5j?entry=ttu",2024-04-11 06:57:41.945356,1.3449801,103.9353948,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,Closed,Closed,7,19,7,19,7,19,7,19,7,19,Closed,Closed,,,,,,,
The Little Skool-House International Pte Ltd (At-Tampines-Junction),Preschool,"300 Tampines Ave 5, #04-02/03/04 Income@Tampines Junction, Singapore 529653 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://bit.ly/LSH_TampinesJunction_ScheduleAVisit,"2,    5,    5,    5,    5,    2",4.0,"https://www.google.com/maps/place/Little+Skool-House+Tampines+Junction/@1.352109,103.941842,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1847e5555555:0xecd863d70ac66937!8m2!3d1.352109!4d103.941842!16s%2Fg%2F1vrq74pt?entry=ttu",2024-04-11 06:57:16.730471,1.352109,103.941842,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
The Little Skool-House International Pte Ltd (At-Republic-Polytechnic),Preschool,"17 Woodlands Ave 9, #01-01 Republic Polytechnic, Singapore 738968 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://bit.ly/LSH_RepublicPolytechnic_ScheduleAVisit,5,5.0,"https://www.google.com/maps/place/Little+Skool-House+Republic+Polytechnic/@1.447235,103.7842752,17z/data=!3m1!4b1!4m6!3m5!1s0x31da13063ed79a51:0xad5b413706b1943!8m2!3d1.447235!4d103.7842752!16s%2Fg%2F11hbq8qghl?entry=ttu",2024-04-11 06:56:51.544884,1.447235,103.7842752,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
The Little Skool-House International Pte Ltd (At-Outram),Preschool,"10 Hospital Blvd, #05-01 SingHealth Tower, Singapore 168582 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://bit.ly/LSH_OutramCommunityHospital_ScheduleAVisit,"5,    5,    4,    5,    5,    4,    4",4.571428571428571,"https://www.google.com/maps/place/Little+Skool-House+SingHealth+Tower/@1.2779352,103.8353809,17z/data=!3m1!4b1!4m6!3m5!1s0x31da197020000003:0x878775d9f105bd59!8m2!3d1.2779352!4d103.8353809!16s%2Fg%2F1tf4bj_9?entry=ttu",2024-04-11 06:56:27.029870,1.2779352,103.8353809,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
The Little Skool-House International Pte Ltd (At-OCBC-Centre),Preschool,"65 Chulia Street, West Wing, #02-02 OCBC Centre, 049513 ","Thursday, 7am to 7:30pm,    Friday, 7am to 7:30pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7am to 7:30pm,    Tuesday, 7am to 7:30pm,    Wednesday, 7am to 7:30pm",https://bit.ly/LSH_OCBCCentre_RafflesPlace_ScheduleAVisit,"5,    5,    5",5.0,"https://www.google.com/maps/place/Little+Skool-House+OCBC+Centre/@1.285184,103.8488954,17z/data=!3m1!4b1!4m6!3m5!1s0x31da10cce69f4bd9:0x353493f48d179f50!8m2!3d1.285184!4d103.8488954!16s%2Fg%2F119tyklxz?entry=ttu",2024-04-11 06:55:55.244312,1.285184,103.8488954,Closed,Closed,7am,7:30pm,7am,7:30pm,7am,7:30pm,7am,7:30pm,7am,7:30pm,Closed,Closed,Closed,Closed,7,19.5,7,19.5,7,19.5,7,19.5,7,19.5,Closed,Closed,,,,,,,
The Little Skool-House International Pte Ltd (At-Mountbatten-Square),Kindergarten,"229 Mountbatten Rd, #02-13 Mountbatten Square, Singapore 398007 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://bit.ly/LSH_MountbattenSquare_ScheduleAVisit,"5,    1,    5,    5,    5,    5",4.333333333333333,"https://www.google.com/maps/place/Little+Skool-House+Mountbatten+Square/@1.3075147,103.8817449,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1838756ffa5b:0xc1b9116c2a3f1fd0!8m2!3d1.3075147!4d103.8817449!16s%2Fg%2F1pt_4ldss?entry=ttu",2024-04-11 06:55:30.048257,1.3075147,103.8817449,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
The Little Skool-House International Pte Ltd (At-Ministry-of-Education),Preschool,"#04-01 MOE Building Podium Block, 1 N Buona Vista Dr, 138675 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://bit.ly/LSH_MOEBuilding_BuonaVista_ScheduleAVisit,"5,    1",3.0,"https://www.google.com/maps/place/Little+Skool-House+Ministry+Of+Education/@1.3054021,103.7909271,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1b7da6b94bb5:0xf1183e96efdac8de!8m2!3d1.3054021!4d103.7909271!16s%2Fg%2F11jvrc5vqk?entry=ttu",2024-04-11 06:55:04.570378,1.3054021,103.7909271,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
The Little Skool-House International Pte Ltd (At-Marina-Boulevard),Preschool,"1 Marina Blvd, #B1-01, Singapore 018989 ","Thursday, 7am to 7:30pm,    Friday, 7am to 7:30pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7am to 7:30pm,    Tuesday, 7am to 7:30pm,    Wednesday, 7am to 7:30pm",https://bit.ly/LSH_OneMarinaBoulevard_Raffles_ScheduleAVisit,5,5.0,"https://www.google.com/maps/place/Little+Skool-House+One+Marina+Boulevard/@1.2822004,103.8526513,17z/data=!3m1!4b1!4m6!3m5!1s0x31da190ef0face2d:0x2438ee469b68617a!8m2!3d1.2822004!4d103.8526513!16s%2Fg%2F11g6z2r5wj?entry=ttu",2024-04-11 06:54:39.453904,1.2822004,103.8526513,Closed,Closed,7am,7:30pm,7am,7:30pm,7am,7:30pm,7am,7:30pm,7am,7:30pm,Closed,Closed,Closed,Closed,7,19.5,7,19.5,7,19.5,7,19.5,7,19.5,Closed,Closed,,,,,,,
The Little Skool-House International Pte Ltd (At-Kent-Vale),Preschool,"101B Clementi Rd, Kent Vale Staff Housing, Singapore 129798 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://bit.ly/LSH_NUS_KentVale_ScheduleAVisit,"5,    5,    1,    5",4.0,"https://www.google.com/maps/place/Little+Skool-House+Kent+Vale/@1.3014063,103.7689334,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1af130000001:0x45b7c0be7d4b9a61!8m2!3d1.3014063!4d103.7689334!16s%2Fg%2F1tfxd63r?entry=ttu",2024-04-11 06:54:14.261523,1.3014063,103.7689334,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
The Little Skool-House International Pte Ltd (At-Downtown-East),Preschool,"1 Pasir Ris Close Downtown East, E!Hub, #03-113, 519599 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://bit.ly/LSH_DowntownEast_PasirRis_ScheduleAVisit,5,5.0,"https://www.google.com/maps/place/Little+Skool-House+Downtown+East/@1.3760055,103.9555267,17z/data=!3m1!4b1!4m6!3m5!1s0x31da3db40935e17b:0xe4bbdaae0082f9c6!8m2!3d1.3760055!4d103.9555267!16s%2Fg%2F11grc0pwrd?entry=ttu",2024-04-11 06:53:48.982617,1.3760055,103.9555267,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,Closed,Closed,7,19,7,19,7,19,7,19,7,19,Closed,Closed,,,,,,,
The Little Skool-House International Pte Ltd (At-Devan-Nair-Institute),Preschool,"80 Jurong East Street 21, #03-02 Devan Nair Institute for Employment and Employability, Singapore 609607 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://bit.ly/LSH_DevanNairInstitute_JurongEast_ScheduleAVisit,"5,    5",5.0,"https://www.google.com/maps/place/Little+Skool-House+Devan+Nair+Institute/@1.336121,103.7445725,17z/data=!3m1!4b1!4m6!3m5!1s0x31da115dd0d6d0f1:0xa0d158d2c2af05f2!8m2!3d1.336121!4d103.7445725!16s%2Fg%2F11n11bk8jr?entry=ttu",2024-04-11 06:53:24.603960,1.336121,103.7445725,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
The Little Skool-House International Pte Ltd (At-Delta-House),Preschool,"2 Alexandra Rd #01-03A Delta House, 159919 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://bit.ly/LSH_DeltaHouse_ScheduleAVisit,"1,    5,    5,    1,    5,    3,    3,    3,    4,    3,    4,    3,    3,    5,    4,    3,    5,    5,    3,    5,    5",3.7142857142857135,"https://www.google.com/maps/place/Little+Skool-House+Delta+House/@1.2910893,103.8254356,17z/data=!3m1!4b1!4m6!3m5!1s0x31da190134a5d99b:0xddb7589903349436!8m2!3d1.2910893!4d103.8254356!16s%2Fg%2F11fj6d2s2b?entry=ttu",2024-04-11 06:52:59.674259,1.2910893,103.8254356,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,Closed,Closed,7,19,7,19,7,19,7,19,7,19,Closed,Closed,0.2583333333333333,,,0.9,-0.3833333333333333,,
The Little Skool-House International - In-the-Treehouse,Preschool,"333 Boon Lay Wy, Singapore 649848 ",,http://www.littleskoolhouse.com/,"4,    5",4.5,"https://www.google.com/maps/place/The+Little+Skool-House+International+-+In-the-Treehouse/@1.3350876,103.7062923,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0ff2b432a6cb:0x91f4dce75035a08a!8m2!3d1.3350876!4d103.7062923!16s%2Fg%2F1tfzt_pf?entry=ttu",2024-04-11 06:52:44.944198,1.3350876,103.7062923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Little Skool-House At-KK Hospital,Kindergarten,"99 Bukit Timah Rd, #01-01 Alfa Centre, Singapore 229835 ","Thursday, 6:45am to 7:15pm,    Friday, 6:45am to 7:15pm,    Saturday, 6:45am to 2:15pm,    Sunday, Closed,    Monday, 6:45am to 7:15pm,    Tuesday, 6:45am to 7:15pm,    Wednesday, 6:45am to 7:15pm",https://bit.ly/LSH_KKH_AlfraCentre_ScheduleAVisit,"4,    5",4.5,"https://www.google.com/maps/place/Little+Skool-House+KKH/@1.3074598,103.8470508,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19aa29aebaeb:0x30f68278ddcd266d!8m2!3d1.3074598!4d103.8470508!16s%2Fg%2F11jw4918tx?entry=ttu",2024-04-11 06:52:29.842773,1.3074598,103.8470508,Closed,Closed,6:45am,7:15pm,6:45am,7:15pm,6:45am,7:15pm,6:45am,7:15pm,6:45am,7:15pm,6:45am,2:15pm,Closed,Closed,6.75,19.25,6.75,19.25,6.75,19.25,6.75,19.25,6.75,19.25,6.75,14.25,,,,,,,
The Little Skool-House At Ngee Ann Polytechnic,Preschool,"535 Clementi Road Ngee Ann Polytechnic, Block 52 Level 3, 599489 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://bit.ly/LSH_NgeeAnnPolytechnic_ScheduleAVisit,"4,    5",4.5,"https://www.google.com/maps/place/Little+Skool-House+Ngee+Ann+Polytechnic/@1.3314239,103.7749256,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1161d3b4ca15:0xc123dfb739a0b903!8m2!3d1.3314239!4d103.7749256!16s%2Fg%2F11qqlqx17m?entry=ttu",2024-04-11 06:52:04.861134,1.3314239,103.7749256,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
The Little House (Montessori),Preschool,"6 Jln Keria, Singapore 588534 ","Thursday, 8:30am to 4:30pm,    Friday, 8:30am to 4:30pm,    Saturday, Closed,    Sunday, Closed,    Monday, 8:30am to 4:30pm,    Tuesday, 8:30am to 4:30pm,    Wednesday, 8:30am to 4:30pm",http://www.thelittlehousemontessori.com/,"5,    5,    5",5.0,"https://www.google.com/maps/place/The+Little+House+(Montessori)/@1.3404938,103.7823933,17z/data=!3m1!4b1!4m6!3m5!1s0x31da10796c83f489:0xabd31e3a786ede5a!8m2!3d1.3404938!4d103.7823933!16s%2Fg%2F1tkmk195?entry=ttu",2024-04-11 06:51:56.325977,1.3404938,103.7823933,Closed,Closed,8:30am,4:30pm,8:30am,4:30pm,8:30am,4:30pm,8:30am,4:30pm,8:30am,4:30pm,Closed,Closed,Closed,Closed,8.5,16.5,8.5,16.5,8.5,16.5,8.5,16.5,8.5,16.5,Closed,Closed,0.4361111111111111,,,,,,0.4361111111111111
The Kiddiwinkie Place (Env) Pte. Ltd.,Preschool,"40 Scotts Rd, Singapore 228231 ",,https://business.google.com/create?fp=2132876098925727865&hl=en&authuser=0&gmbsrc=sg-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=sg-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,"5,    5,    5",5.0,"https://www.google.com/maps/place/The+Kiddiwinkie+Place+(Env)+Pte.+Ltd./@1.3102694,103.8362083,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19ec556aaaab:0x1d997f82f2639079!8m2!3d1.3102694!4d103.8362083!16s%2Fg%2F11h7s48dqz?entry=ttu",2024-04-11 06:51:41.388481,1.3102694,103.8362083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweetlands Childcare JE 316 Pte. Ltd.,Day care center,"316 Jurong East Street 32, Block 316, Singapore 600316 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",,"5,    5,    5",5.0,"https://www.google.com/maps/place/Sweetlands+Childcare+JE+316+Pte.+Ltd./@1.3465652,103.7325826,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1021cf1d0f15:0xdb8e6c68e84c9fe!8m2!3d1.3465652!4d103.7325826!16s%2Fg%2F1pv0tbn3c?entry=ttu",2024-04-11 06:51:16.596883,1.3465652,103.7325826,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
Swallows and Amazons Kindergarten,Preschool,"39 Linden Dr, Singapore 288712 ","Thursday, 7:30am to 4pm,    Friday, 7:30am to 4pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7:30am to 4pm,    Tuesday, 7:30am to 4pm,    Wednesday, 7:30am to 4pm",https://invictus.preschool.edu.sg/book-a-tour,"5,    5,    5,    5,    1,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5",4.733333333333333,"https://www.google.com/maps/place/Swallows+and+Amazons+Kindergarten/@1.3323978,103.8016616,17z/data=!3m1!4b1!4m6!3m5!1s0x31da10972f5fed85:0x9892d9f1274772e7!8m2!3d1.3323978!4d103.8016616!16s%2Fg%2F11j3kg9dkx?entry=ttu",2024-04-11 06:50:51.183945,1.3323978,103.8016616,Closed,Closed,7:30am,4pm,7:30am,4pm,7:30am,4pm,7:30am,4pm,7:30am,4pm,Closed,Closed,Closed,Closed,7.5,16,7.5,16,7.5,16,7.5,16,7.5,16,Closed,Closed,0.3276666666666666,,,0.3276666666666666,,,
Superland Pre-School (UE Square) Pte Ltd,Montessori school,"81 Clemenceau Ave, Level 4, Singapore 239917 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",http://www.superland.com.sg/,"5,    5,    5,    5,    5,    5,    5,    5",5.0,"https://www.google.com/maps/place/Superland+Pre-School+(UESquare)/@1.2921309,103.8425941,17z/data=!3m1!4b1!4m6!3m5!1s0x31da197ca211054f:0xcb5ee39f5991b75!8m2!3d1.2921309!4d103.8425941!16s%2Fg%2F11j0jbpxxx?entry=ttu",2024-04-11 06:50:26.699701,1.2921309,103.8425941,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
Superland Pre-school (TBCC),Preschool,"67A Eu Chin St, Singapore 169715 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",http://superland.com.sg/,5,5.0,"https://www.google.com/maps/place/Superland+Pre-school+(TBCC)/@1.2835348,103.831921,17z/data=!3m1!4b1!4m6!3m5!1s0x31da192141715b65:0x588a1233a3c7b408!8m2!3d1.2835348!4d103.831921!16s%2Fg%2F11ry4s4_yw?entry=ttu",2024-04-11 06:50:01.587999,1.2835348,103.831921,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
Superland Pre-School (Tanglin),Preschool,"56 Tanglin Rd, #02-00, Singapore 247964 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://superland.com.sg/,5,5.0,"https://www.google.com/maps/place/Superland+Pre-School+(Tanglin)/@1.3056217,103.8229401,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19a1fc462257:0xbf5ad2124e4cacc7!8m2!3d1.3056217!4d103.8229401!16s%2Fg%2F11n08z0tgs?entry=ttu",2024-04-11 06:49:36.987138,1.3056217,103.8229401,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
Superland Pre-school (River valley),Montessori school,"336 River Valley Rd, #01-00, Singapore 238366 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://superland.com.sg/,"2,    5,    5,    5,    4,    5,    5,    4,    4",4.333333333333333,"https://www.google.com/maps/place/Superland+Pre-school+(River+valley)/@1.2960792,103.8385122,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19566d6abcad:0xa39b40c6ab81cd12!8m2!3d1.2960792!4d103.8385122!16s%2Fg%2F11pxx3zj76?entry=ttu",2024-04-11 06:49:12.014129,1.2960792,103.8385122,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
Superland Pre-School (Radin Mas),Preschool,"51 Telok Blangah Cres, #02-01/02, Singapore 098917 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 1pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",http://superland.com.sg/,"2,    4,    5,    1,    1,    5,    5,    5,    5,    5,    1,    1,    1",3.1538461538461537,"https://www.google.com/maps/place/Superland+Pre-School+(Radin+Mas)/@1.2758046,103.8199085,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1b17b815dafd:0xadefceefef1b1d!8m2!3d1.2758046!4d103.8199085!16s%2Fg%2F11rcmt0vq7?entry=ttu",2024-04-11 06:48:57.502742,1.2758046,103.8199085,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,1pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,13,,,,,,,
Superland Pre-School (Outram),Montessori school,"240 Outram Rd, Singapore 169043 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",http://www.superland.com.sg/,"2,    4,    5,    1,    1,    5,    5,    5,    5,    5,    1,    1,    1",3.1538461538461537,"https://www.google.com/maps/place/Superland+Pre-School+(Outram)/@1.2847847,103.8353516,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19773a1afaad:0x524cb5be4224eaf!8m2!3d1.2847847!4d103.8353516!16s%2Fg%2F11b8t5m4gk?entry=ttu",2024-04-11 06:48:32.693073,1.2847847,103.8353516,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
