Word,Frequency,Category
parking,14,
singing,14,
caregiver,14,Educational Roles
block,14,Educational Institutions and Facilities
allergy,14,
walk,14,Learning and Teaching
vicinity,14,
sand,14,Learning and Teaching
mentor,14,Educational Roles
graduate,14,Educational Roles
sign,14,Learning and Teaching
model,14,Educational Roles
city,14,Educational Institutions and Facilities
stranger,14,Educational Roles
rapport,14,
pride,14,
vision,14,
temperature,14,Learning and Teaching
artwork,14,Learning and Teaching
shopping,13,Learning and Teaching
amenity,13,
talent,13,
estate,13,Educational Institutions and Facilities
rating,13,
content,13,Learning and Teaching
ball,13,Learning and Teaching
entrance,13,Educational Institutions and Facilities
restriction,13,
traffic,13,
blossom,13,
mindfulness,13,
children,13,Educational Roles
u,13,
order,13,
ifc,13,
tear,13,
gift,13,
summary,13,
attentiveness,13,
grade,13,
plant,13,
control,13,
channel,13,
hardwork,13,
transformation,13,Learning and Teaching
worksheet,13,Learning and Teaching
status,13,Learning and Teaching
track,13,Learning and Teaching
ex,13,
volume,13,Learning and Teaching
fruit,13,
capability,13,Learning and Teaching
sibling,13,
birthday,13,
institution,13,Learning and Teaching
mummy,12,
soul,12,
animal,12,
prop,12,
carpark,12,Educational Institutions and Facilities
eg,12,
yr,12,
numeracy,12,Learning and Teaching
call,12,Learning and Teaching
stay,12,Learning and Teaching
philosophy,12,Learning and Teaching
insight,12,Learning and Teaching
spirit,12,Learning and Teaching
payment,12,Learning and Teaching
swimming,12,Learning and Teaching
infantcare,12,
protocol,12,Learning and Teaching
timing,12,Learning and Teaching
piece,12,Learning and Teaching
admission,12,Learning and Teaching
practicum,12,Learning and Teaching
set,12,Learning and Teaching
breeze,12,Learning and Teaching
bunch,12,Learning and Teaching
excitement,12,Learning and Teaching
affection,12,Learning and Teaching
colleague,12,
min,12,Learning and Teaching
newsletter,12,Learning and Teaching
opening,12,Learning and Teaching
cheer,12,Learning and Teaching
greenery,11,Learning and Teaching
greeting,11,Learning and Teaching
colour,11,Learning and Teaching
sincerity,11,Learning and Teaching
living,11,Learning and Teaching
e,11,
stop,11,Learning and Teaching
church,11,Educational Institutions and Facilities
pm,11,Time in Education
good,11,Learning and Teaching
website,11,Learning and Teaching
dancing,11,Learning and Teaching
waiting,11,Learning and Teaching
mark,11,Learning and Teaching
accident,11,Learning and Teaching
rash,11,Learning and Teaching
skin,11,Learning and Teaching
eczema,11,Learning and Teaching
dream,11,Learning and Teaching
bruise,11,Learning and Teaching
breakfast,11,Learning and Teaching
access,11,Learning and Teaching
connection,11,Learning and Teaching
nurturing,11,Learning and Teaching
presence,11,Learning and Teaching
willingness,11,Learning and Teaching
letter,11,Learning and Teaching
adventure,11,Learning and Teaching
mathematic,11,Learning and Teaching
telling,11,Learning and Teaching
man,11,Learning and Teaching
refund,11,Learning and Teaching
policy,11,Learning and Teaching
afternoon,11,Time in Education
orientation,11,Learning and Teaching
imagination,11,Learning and Teaching
portal,11,Learning and Teaching
feed,11,Learning and Teaching
n,11,
violin,11,Learning and Teaching
schoolhouse,11,Educational Institutions and Facilities
movie,11,Learning and Teaching
ton,10,
ambience,10,
transfer,10,
weight,10,
doctor,10,
hug,10,
look,10,
background,10,
establishment,10,
mommy,10,
bag,10,
mistake,10,
infrastructure,10,
government,10,
conclusion,10,
welfare,10,
injury,10,
card,10,
resident,10,
premium,10,
announcement,10,
tot,10,
leave,10,
arm,10,
element,10,
vice,10,
awareness,10,
break,10,
hair,10,
methodology,10,
chef,10,
cake,10,
vegetable,10,
daddy,10,
gesture,10,
kidz,10,
contribution,10,
shoe,10,
costume,10,
odyssey,10,
trainer,10,
delay,9,
coordination,9,
post,9,
stress,9,
scratch,9,
circuit,9,
wall,9,
preference,9,
manpower,9,
educarer,9,
hope,9,
convenience,9,
chat,9,
participation,9,
party,9,
lil,9,
apology,9,
tool,9,
camp,9,
bay,9,
clothe,9,
comparison,9,
requirement,9,
diversity,9,
foot,9,
disease,9,
pity,9,
delivery,9,
cry,9,
flexibility,9,
advance,9,
cc,9,
in,9,
spread,9,
laughter,9,
teach,9,
address,9,
cove,9,
site,9,
elfa,9,
beach,9,
layout,9,
excuse,9,
franchise,9,
past,9,
biscuit,9,
weakness,9,
gal,9,
tantrum,9,
cleaner,9,
sort,9,
exercise,9,
expertise,9,
haven,9,
champion,9,
mindspace,9,
waitlist,8,
visitor,8,
bubbly,8,
mean,8,
mid,8,
breaker,8,
selection,8,
pant,8,
risk,8,
speaking,8,
faith,8,
bite,8,
rock,8,
pandemic,8,
kindie,8,
drive,8,
transport,8,
test,8,
chair,8,
collaboration,8,
lifetime,8,
r,8,
pickup,8,
compliment,8,
attrition,8,
increase,8,
shortage,8,
cause,8,
record,8,
circumstance,8,
transit,8,
yesterday,8,
notification,8,
internship,8,
industry,8,
drawing,8,
glass,8,
influence,8,
discussion,8,
promise,8,
weather,8,
history,8,
goodbye,8,
composition,8,
portfolio,8,
grandparent,8,
wait,8,
sunshine,8,
reassurance,8,
withdrawal,8,
alphabet,8,
design,8,
pat,8,
subsidy,7,
setup,7,
text,7,
blink,7,
depth,7,
decoration,7,
state,7,
instance,7,
table,7,
chicken,7,
ventilation,7,
thoughtfulness,7,
father,7,
farm,7,
eating,7,
caretaker,7,
nightmare,7,
carer,7,
basic,7,
courtesy,7,
bed,7,
paper,7,
street,7,
second,7,
struggle,7,
objective,7,
shop,7,
total,7,
privilege,7,
hero,7,
conduct,7,
conference,7,
cream,7,
behalf,7,
procedure,7,
accountability,7,
zoom,7,
nephew,7,
tone,7,
appreciate,7,
assessment,7,
goal,7,
act,7,
strategy,7,
discovery,7,
interview,7,
booklet,7,
grass,7,
hfmd,7,
library,7,
zone,7,
pedagogy,7,
town,7,
tea,7,
reception,7,
trait,7,
aircon,7,
west,7,
capacity,7,
mannerism,7,
dish,7,
relocation,7,
sale,7,
enrollment,7,
woodland,7,
luck,7,
flu,7,
ceiling,7,
nose,7,
walkway,7,
meditation,7,
hotline,7,
twinklekidz,7,
contract,6,
attendance,6,
plate,6,
shelter,6,
height,6,
trial,6,
key,6,
brain,6,
leg,6,
portion,6,
canteen,6,
computer,6,
hall,6,
extent,6,
feeding,6,
carnival,6,
deal,6,
tree,6,
aunty,6,
public,6,
mouth,6,
ride,6,
diet,6,
board,6,
communicating,6,
scar,6,
middle,6,
body,6,
prep,6,
fail,6,
bonus,6,
career,6,
offer,6,
wound,6,
club,6,
aunt,6,
integrity,6,
listening,6,
lockdown,6,
batch,6,
myriad,6,
benefit,6,
playtime,6,
renovation,6,
painting,6,
technique,6,
rhythm,6,
enjoyment,6,
award,6,
mess,6,
land,6,
grace,6,
hospital,6,
lie,6,
account,6,
grandchild,6,
research,6,
spot,6,
neighbour,6,
elder,6,
mission,6,
search,6,
worker,6,
rain,6,
meadow,6,
purpose,6,
part,6,
section,6,
sight,6,
comm,6,
friendliness,6,
awe,6,
李老师,6,
seed,6,
inspiration,6,
woman,6,
tampine,6,
supervision,6,
cough,6,
inconvenience,6,
advantage,6,
perspective,6,
gardening,6,
crowd,6,
transparency,6,
scene,6,
黄老师,6,
bukit,6,
shaw,6,
hesitation,6,
mosquito,5,
bug,5,
expat,5,
sector,5,
command,5,
shape,5,
midst,5,
authority,5,
return,5,
indoor,5,
network,5,
wing,5,
junction,5,
effect,5,
mate,5,
reputation,5,
merger,5,
hassle,5,
guide,5,
exchange,5,
software,5,
counting,5,
motivation,5,
nearer,5,
sock,5,
calendar,5,
belief,5,
belonging,5,
demand,5,
semester,5,
inclusivity,5,
fuss,5,
straw,5,
camelot,5,
sparkle,5,
switch,5,
train,5,
bicycle,5,
adjustment,5,
intelligence,5,
evidence,5,
therapy,5,
anniversary,5,
fever,5,
dismissal,5,
unit,5,
deck,5,
cycling,5,
attachment,5,
society,5,
feel,5,
clip,5,
context,5,
cluster,5,
shell,5,
function,5,
con,5,
follow,5,
finance,5,
illness,5,
speaker,5,
esteem,5,
encounter,5,
geography,5,
dog,5,
interchange,5,
ingredient,5,
local,5,
poem,5,
arrival,5,
crying,5,
color,5,
testimonial,5,
treatment,5,
solution,5,
pupil,5,
porridge,5,
taking,5,
sleep,5,
boutique,5,
loop,5,
counter,5,
comprehension,5,
clarification,5,
spectrum,5,
psle,5,
intention,5,
horizon,5,
proficiency,5,
camaraderie,5,
slide,5,
source,5,
welcome,5,
positivity,5,
sickness,5,
patch,5,
abuse,5,
firstborn,5,
kit,5,
sweat,5,
version,5,
product,5,
passionate,5,
like,5,
upbringing,5,
guest,5,
yoga,5,
eagerness,5,
disappointment,5,
angeline,5,
corridor,5,
adaptability,5,
princess,5,
wisdom,5,
blk,5,
germ,5,
disruption,5,
attempt,5,
hubby,5,
decade,5,
profit,5,
vendor,5,
pro,5,
scale,5,
activite,5,
schooler,5,
pic,5,
autism,5,
abit,5,
personable,5,
theatre,5,
timah,5,
machine,5,
piano,5,
coincidence,5,
desk,4,
staffing,4,
banking,4,
certificate,4,
wish,4,
fenny,4,
indicator,4,
chocolate,4,
chip,4,
race,4,
companion,4,
regulation,4,
sake,4,
remark,4,
kindy,4,
daily,4,
document,4,
human,4,
lapse,4,
volunteer,4,
bowl,4,
season,4,
tell,4,
entry,4,
outcome,4,
medium,4,
stone,4,
standout,4,
feature,4,
foster,4,
beacon,4,
cohort,4,
hardware,4,
frustration,4,
power,4,
mgmt,4,
blame,4,
timetable,4,
foreigner,4,
degree,4,
courage,4,
accordance,4,
cafe,4,
peak,4,
abundance,4,
weekly,4,
dinner,4,
competency,4,
symptom,4,
confirmation,4,
intervention,4,
investigation,4,
cum,4,
disposition,4,
host,4,
cirriculum,4,
cctv,4,
glimpse,4,
outside,4,
folk,4,
screen,4,
statement,4,
obstacle,4,
intern,4,
recognition,4,
flower,4,
guardian,4,
workbook,4,
equipment,4,
expert,4,
bridge,4,
supermarket,4,
box,4,
handful,4,
castle,4,
hit,4,
voice,4,
communicate,4,
planet,4,
everytime,4,
direction,4,
exterior,4,
performer,4,
bullying,4,
gain,4,
movement,4,
solid,4,
picnic,4,
page,4,
swing,4,
moon,4,
lead,4,
criterion,4,
superhero,4,
eat,4,
communicator,4,
consistency,4,
primary,4,
dollar,4,
advertisement,4,
tv,4,
tutor,4,
magic,4,
stability,4,
meltdown,4,
waterplay,4,
haha,4,
curtain,4,
aid,4,
tee,4,
organization,4,
devotion,4,
length,4,
organising,4,
band,4,
birth,4,
run,4,
info,4,
yo,4,
constraint,4,
pacifier,4,
胡老师,4,
operator,4,
pressure,4,
zoo,4,
superb,4,
drum,4,
complain,4,
reality,4,
drink,4,
mass,4,
downside,4,
l,4,
enrolling,4,
demeanor,4,
weekday,4,
tricycle,4,
negligence,4,
pay,4,
giggle,4,
scissor,4,
caterpillar,4,
exhibition,4,
tradition,4,
inclusion,4,
relative,4,
courtyard,4,
description,4,
lighting,4,
hrs,4,
sustainability,4,
alternative,4,
precaution,4,
market,4,
organisation,4,
recommend,4,
island,4,
sparkletot,4,
veggie,4,
umbrella,4,
signature,4,
lol,4,
reaction,4,
northshore,4,
raintree,4,
passage,4,
guard,4,
episode,4,
donation,4,
sunflower,4,
pronunciation,4,
presentation,4,
recipe,4,
domain,4,
sleepover,4,
小恩老师,4,
square,4,
suitability,3,
hat,3,
apartment,3,
noise,3,
shock,3,
tennis,3,
subtraction,3,
necessity,3,
favorite,3,
w,3,
museum,3,
deduction,3,
washroom,3,
tune,3,
prayer,3,
par,3,
breakdown,3,
timer,3,
whatsapp,3,
proof,3,
find,3,
making,3,
termly,3,
mozzie,3,
copy,3,
religion,3,
root,3,
exemplary,3,
turning,3,
cookie,3,
score,3,
conflict,3,
extension,3,
retention,3,
hdb,3,
socialising,3,
forehead,3,
angle,3,
changer,3,
mentorship,3,
file,3,
technology,3,
dissatisfaction,3,
sensory,3,
flag,3,
array,3,
instructor,3,
marketing,3,
discount,3,
package,3,
ultimatum,3,
noon,3,
instill,3,
flow,3,
diem,3,
drain,3,
impress,3,
coffee,3,
conveniency,3,
maternity,3,
adaptation,3,
stand,3,
faculty,3,
football,3,
logistic,3,
lifeskill,3,
prompt,3,
fro,3,
cup,3,
nut,3,
round,3,
immersion,3,
coding,3,
reader,3,
series,3,
presch,3,
dining,3,
shower,3,
code,3,
provider,3,
neighbor,3,
pencil,3,
try,3,
attribute,3,
bouncy,3,
robot,3,
blast,3,
meet,3,
region,3,
rigor,3,
farewell,3,
pr,3,
supervisor,3,
ice,3,
老师,3,
feat,3,
cross,3,
academy,3,
insect,3,
reviewer,3,
testimony,3,
bubble,3,
fundamental,3,
fish,3,
calculation,3,
advise,3,
competence,3,
fashion,3,
input,3,
newspaper,3,
temperament,3,
rd,3,
assembly,3,
tomorrow,3,
forest,3,
sandplay,3,
dislike,3,
lookout,3,
nurture,3,
yew,3,
recycling,3,
employee,3,
dialogue,3,
committee,3,
warming,3,
marching,3,
image,3,
rice,3,
waste,3,
cbd,3,
base,3,
inform,3,
inclusive,3,
personnel,3,
crew,3,
beauty,3,
dealing,3,
emergency,3,
conditioning,3,
clock,3,
reservation,3,
infancy,3,
hiccup,3,
police,3,
custom,3,
cuisine,3,
medicine,3,
calm,3,
segar,3,
promotion,3,
qualm,3,
socio,3,
dirt,3,
graduating,3,
placement,3,
uncertainty,3,
profession,3,
vitamin,3,
move,3,
checking,3,
seat,3,
eva,3,
applause,3,
quarter,3,
coin,3,
utensil,3,
sabrina,3,
reward,3,
absence,3,
fort,3,
calibre,3,
杨老师,3,
fitness,3,
updating,3,
closing,3,
specialist,3,
ant,3,
shame,3,
deficiency,3,
entertainment,3,
phrase,3,
handicraft,3,
uncle,3,
venue,3,
keyboard,3,
tp,3,
pet,3,
officer,3,
envirolment,3,
frame,3,
availability,3,
introduction,3,
force,3,
eversince,3,
sing,3,
storey,3,
forum,3,
airy,3,
ration,3,
guideline,3,
abacus,3,
combination,3,
finger,3,
stroke,3,
crawl,3,
terrace,3,
refusal,3,
virtue,3,
km,3,
pass,3,
chain,3,
heritage,3,
coz,3,
pcf,3,
sanitisation,3,
baking,3,
trampoline,3,
allocation,3,
montessori,3,
schoolmate,3,
accomplishment,3,
chore,3,
privacy,3,
bank,3,
wave,3,
storytelling,3,
goo,3,
riverlife,3,
daugher,3,
explanation,3,
immunity,3,
sandpit,3,
referral,3,
taste,3,
attendant,3,
starlearner,3,
tongue,3,
invoice,3,
egg,3,
cut,3,
inquisitiveness,3,
co,3,
investment,3,
nutrition,3,
superland,3,
ship,3,
backdrop,3,
pain,3,
bar,3,
lift,3,
赵老师,3,
restaurant,3,
monitor,3,
shaping,3,
honor,3,
bathroom,3,
cultivation,3,
coast,3,
display,3,
partnering,3,
mcbkk,3,
cinema,3,
excel,3,
sentosa,3,
